Year,Origin,ISO,Destination,Asylum ,Returned,ReturnedIDPss,Resettlement,Naturalisation
2015,Afghanistan,AFG,Azerbaijan,AZE,54,-,-,-
2015,Afghanistan,AFG,India,IND,102,-,-,96
2015,Afghanistan,AFG,Indonesia,IDN,9,-,-,-
2015,Afghanistan,AFG,Iran (Islamic Rep. of),IRN,2881,-,-,-
2015,Afghanistan,AFG,Kazakhstan,KAZ,5,-,-,-
2015,Afghanistan,AFG,Kyrgyzstan,KGZ,12,-,-,5
2015,Afghanistan,AFG,Pakistan,PAK,58211,-,-,-
2015,Afghanistan,AFG,Russian Federation,RUS,5,-,-,-
2015,Afghanistan,AFG,Tajikistan,TJK,102,-,-,-
2015,Angola,AGO,Congo,COG,248,-,-,-
2015,Angola,AGO,Dem. Rep. of the Congo,COD,3996,-,-,-
2015,Angola,AGO,Zambia,ZMB,395,-,-,-
2015,Egypt,EGY,Russian Federation,RUS,5,-,-,-
2015,Burundi,BDI,Dem. Rep. of the Congo,COD,6,-,-,-
2015,Burundi,BDI,Namibia,NAM,5,-,-,-
2015,Burundi,BDI,United Rep. of Tanzania,TZA,5,-,-,-
2015,Bosnia and Herzegovina,BIH,Germany,DEU,5,-,-,-
2015,Bosnia and Herzegovina,BIH,Croatia,HRV,11,-,-,-
2015,Bosnia and Herzegovina,BIH,Slovenia,SVN,5,-,-,5
2015,Central African Rep.,CAF,Chad,TCD,9751,-,-,-
2015,Central African Rep.,CAF,Cameroon,CMR,11238,-,-,-
2015,Central African Rep.,CAF,Dem. Rep. of the Congo,COD,605,-,-,-
2015,Central African Rep.,CAF,Cote d'Ivoire,CIV,6,-,-,-
2015,Central African Rep.,CAF,Mauritania,MRT,32,-,-,-
2015,Chad,TCD,Cameroon,CMR,7,-,-,-
2015,Chad,TCD,Gabon,GAB,31,-,-,-
2015,Dem. Rep. of the Congo,COD,Burundi,BDI,35,-,-,-
2015,Dem. Rep. of the Congo,COD,Central African Rep.,CAF,805,-,-,-
2015,Dem. Rep. of the Congo,COD,Congo,COG,11,-,-,-
2015,Dem. Rep. of the Congo,COD,Cote d'Ivoire,CIV,11,-,-,-
2015,Dem. Rep. of the Congo,COD,South Africa,ZAF,5,-,-,-
2015,Dem. Rep. of the Congo,COD,Rwanda,RWA,11,-,-,-
2015,Dem. Rep. of the Congo,COD,South Sudan,SSD,2017,-,-,-
2015,Dem. Rep. of the Congo,COD,Uganda,UGA,5616,-,-,-
2015,Dem. Rep. of the Congo,COD,Zambia,ZMB,24,-,-,-
2015,Colombia,COL,Argentina,ARG,9,-,-,13
2015,Colombia,COL,Ecuador,ECU,10,-,-,-
2015,Colombia,COL,Honduras,HND,5,-,-,-
2015,Colombia,COL,Paraguay,PRY,5,-,-,-
2015,Colombia,COL,Venezuela (Bolivarian Republic of),VEN,1765,-,-,-
2015,Ethiopia,ETH,South Africa,ZAF,5,-,-,-
2015,Palestinian,PSE,Iraq,IRQ,12,-,-,-
2015,Croatia,HRV,Bosnia and Herzegovina,BIH,60,-,-,-
2015,Croatia,HRV,Serbia and Kosovo: S/RES/1244 (1999),SRB,51,-,-,-
2015,Cote d'Ivoire,CIV,Algeria,DZA,8,-,-,-
2015,Cote d'Ivoire,CIV,Egypt,EGY,6,-,-,-
2015,Cote d'Ivoire,CIV,Benin,BEN,6,-,-,-
2015,Cote d'Ivoire,CIV,Ghana,GHA,31,-,-,-
2015,Cote d'Ivoire,CIV,Liberia,LBR,12059,-,-,-
2015,Cote d'Ivoire,CIV,Mauritania,MRT,11,-,-,-
2015,Cote d'Ivoire,CIV,Morocco,MAR,5,-,-,-
2015,Cote d'Ivoire,CIV,Togo,TGO,94,-,-,-
2015,Iran (Islamic Rep. of),IRN,Azerbaijan,AZE,5,-,-,-
2015,Iran (Islamic Rep. of),IRN,Iraq,IRQ,5,-,-,-
2015,Iraq,IRQ,Egypt,EGY,68,-,-,-
2015,Iraq,IRQ,Austria,AUT,143,-,-,66
2015,Iraq,IRQ,Azerbaijan,AZE,5,-,-,-
2015,Iraq,IRQ,Bahrain,BHR,11,-,-,-
2015,Iraq,IRQ,Belgium,BEL,29,-,-,135
2015,Iraq,IRQ,Belarus,BLR,5,-,-,-
2015,Iraq,IRQ,Bosnia and Herzegovina,BIH,8,-,-,-
2015,Iraq,IRQ,Bulgaria,BGR,11,-,-,-
2015,Iraq,IRQ,Canada,CAN,24,-,2866,3767
2015,Iraq,IRQ,Denmark,DNK,9,-,-,-
2015,Iraq,IRQ,Finland,FIN,20,-,23,-
2015,Iraq,IRQ,France,FRA,107,-,-,51
2015,Iraq,IRQ,United Kingdom of Great Britain and Northern Ireland,GBR,388,-,106,-
2015,Iraq,IRQ,Germany,DEU,175,-,26,-
2015,Iraq,IRQ,Greece,GRC,448,-,-,-
2015,Iraq,IRQ,Croatia,HRV,9,-,-,-
2015,Iraq,IRQ,India,IND,6,-,-,-
2015,Iraq,IRQ,Indonesia,IDN,617,-,-,-
2015,Iraq,IRQ,Iran (Islamic Rep. of),IRN,1271,-,-,-
2015,Iraq,IRQ,Italy,ITA,232,-,-,-
2015,Iraq,IRQ,Jordan,JOR,286,-,-,-
2015,Iraq,IRQ,Japan,JPN,5,-,-,-
2015,Iraq,IRQ,Dem. People's Rep. of Korea,PRK,16,-,-,-
2015,Iraq,IRQ,Kuwait,KWT,29,-,-,-
2015,Iraq,IRQ,Libya,LBY,172,-,-,-
2015,Iraq,IRQ,Lebanon,LBN,51,-,-,-
2015,Iraq,IRQ,Malaysia,MYS,61,-,-,-
2015,Iraq,IRQ,Morocco,MAR,10,-,-,-
2015,Iraq,IRQ,Malta,MLT,5,-,-,-
2015,Iraq,IRQ,Netherlands (Kingdom of the),NLD,5,-,-,-
2015,Iraq,IRQ,Norway,NOR,146,-,5,-
2015,Iraq,IRQ,New Zealand,NZL,119,-,42,-
2015,Iraq,IRQ,Oman,OMN,22,-,-,-
2015,Iraq,IRQ,Qatar,QAT,12,-,-,-
2015,Iraq,IRQ,Romania,ROU,25,-,-,-
2015,Iraq,IRQ,South Africa,ZAF,9,-,-,-
2015,Iraq,IRQ,Saudi Arabia,SAU,64,-,-,-
2015,Iraq,IRQ,Sudan,SDN,6,-,-,-
2015,Iraq,IRQ,Slovakia,SVK,5,-,-,-
2015,Iraq,IRQ,Switzerland,CHE,42,-,-,-
2015,Iraq,IRQ,Syrian Arab Rep.,SYR,938,-,-,-
2015,Iraq,IRQ,Thailand,THA,17,-,-,-
2015,Iraq,IRQ,Turkmenistan,TKM,7,-,-,-
2015,Iraq,IRQ,United Arab Emirates,ARE,169,-,-,-
2015,Iraq,IRQ,Ukraine,UKR,10,-,-,-
2015,Iraq,IRQ,Yemen,YEM,97,-,-,-
2015,Kenya,KEN,Uganda,UGA,1231,-,-,-
2015,Liberia,LBR,Ghana,GHA,5,-,-,-
2015,Liberia,LBR,Cote d'Ivoire,CIV,46,-,-,-
2015,Liberia,LBR,Togo,TGO,5,-,-,-
2015,Sri Lanka,LKA,India,IND,849,-,-,-
2015,Sri Lanka,LKA,Thailand,THA,5,-,-,-
2015,Mali,MLI,Algeria,DZA,851,-,-,-
2015,Mali,MLI,Burkina Faso,BFA,1674,-,-,-
2015,Mali,MLI,Mauritania,MRT,456,-,-,-
2015,Mali,MLI,Niger,NER,1107,-,-,-
2015,Namibia,NAM,Botswana,BWA,21,-,-,-
2015,Pakistan,PAK,Indonesia,IDN,5,-,-,-
2015,Russian Federation,RUS,Azerbaijan,AZE,5,-,-,-
2015,Rwanda,RWA,Central African Rep.,CAF,6,-,-,-
2015,Rwanda,RWA,Cameroon,CMR,5,-,-,-
2015,Rwanda,RWA,Congo,COG,15,-,-,-
2015,Rwanda,RWA,Dem. Rep. of the Congo,COD,5024,-,-,-
2015,Somalia,SOM,Eritrea,ERI,33,-,-,-
2015,Somalia,SOM,Kenya,KEN,5679,-,-,-
2015,Somalia,SOM,Yemen,YEM,26631,-,-,-
2015,Serbia and Kosovo: S/RES/1244 (1999),SRB,North Macedonia,MKD,172,-,-,-
2015,Serbia and Kosovo: S/RES/1244 (1999),SRB,Montenegro,MNE,156,-,-,-
2015,South Sudan,SSD,Kenya,KEN,159,-,-,-
2015,Sudan,SDN,Egypt,EGY,13,-,-,-
2015,Sudan,SDN,Chad,TCD,39470,-,-,-
2015,Sudan,SDN,Kenya,KEN,8,-,-,-
2015,Eswatini,SWZ,Burundi,BDI,7,-,-,-
2015,Syrian Arab Rep.,SYR,Iraq,IRQ,188,-,-,-
2015,Togo,TGO,Ghana,GHA,6,-,-,-
2015,Uganda,UGA,Dem. Rep. of the Congo,COD,1191,-,-,-
2015,Zimbabwe,ZWE,Botswana,BWA,31,-,-,-
2015,Afghanistan,AFG,Australia,AUS,-,-,1089,-
2015,Afghanistan,AFG,Canada,CAN,-,-,1305,1866
